label,statement,named_entities,tagged_statement
0,"Three doctors from the same hospital 'die suddenly' in the same week,"" after the hospital mandated a fourth COVID-19 vaccine for employees.","[('Three', 'CARDINAL'), ('the same week', 'DATE'), ('fourth', 'ORDINAL')]","[CARDINAL]Three[/CARDINAL] doctors from the same hospital 'die suddenly' in [DATE]the same week[/DATE],"" after the hospital mandated a [ORDINAL]fourth[/ORDINAL] COVID-19 vaccine for employees."
0,Say Joe Biden is a pedophile.,"[('Joe Biden', 'PERSON')]",Say [PERSON]Joe Biden[/PERSON] is a pedophile.
0,A photo shows President Joe Biden and Ukrainian President Volodymyr Zelenskyy holding hands.,"[('Joe Biden', 'PERSON'), ('Ukrainian', 'NORP'), ('Volodymyr Zelenskyy', 'PERSON')]",A photo shows President [PERSON]Joe Biden[/PERSON] and [NORP]Ukrainian[/NORP] President [PERSON]Volodymyr Zelenskyy[/PERSON] holding hands.
0,"It will cost $50,000 per enrollee in Obamacare over the next 10 years.","[('50,000', 'MONEY'), ('Obamacare', 'NORP'), ('the next 10 years', 'DATE')]","It will cost $[MONEY]50,000[/MONEY] per enrollee in [NORP]Obamacare[/NORP] over [DATE]the next 10 years[/DATE]."
1,"The Federal Register - which houses all Washington regulations - is 34,000 pages in length and weighs in at more than 340 pounds.","[('The Federal Register - which', 'ORG'), ('Washington', 'GPE'), ('34,000', 'CARDINAL'), ('more than 340 pounds', 'MONEY')]","[ORG]The Federal Register - which[/ORG] houses all [GPE]Washington[/GPE] regulations - is [CARDINAL]34,000[/CARDINAL] pages in length and weighs in at [MONEY]more than 340 pounds[/MONEY]."
1,"Following the 2009 session,"" Texas House Speaker Joe Straus ""was acknowledged and 'thanked' for his 'tireless efforts' by Planned Parenthood, the nation's premier abortion provider.","[('2009', 'DATE'), ('Texas House', 'ORG'), ('Joe Straus', 'PERSON'), ('Planned Parenthood', 'ORG')]","Following the [DATE]2009[/DATE] session,"" [ORG]Texas House[/ORG] Speaker [PERSON]Joe Straus[/PERSON] ""was acknowledged and 'thanked' for his 'tireless efforts' by [ORG]Planned Parenthood[/ORG], the nation's premier abortion provider."
0,"America was the ONLY country that ended"" slavery","[('America', 'GPE')]","[GPE]America[/GPE] was the ONLY country that ended"" slavery"
0,"Says Wisconsin Gov. Scott Walker is making voting more difficult by closing Department of Motor Vehicles offices where ""low-income voters"" live.","[('Wisconsin', 'GPE'), ('Scott Walker', 'PERSON'), ('Department of Motor Vehicles', 'ORG')]","Says [GPE]Wisconsin[/GPE] Gov. [PERSON]Scott Walker[/PERSON] is making voting more difficult by closing [ORG]Department of Motor Vehicles[/ORG] offices where ""low-income voters"" live."
1,"Says if the AHCA replaces Obamacare it will ""significantly reduce insurance premiums in"" North Carolina.","[('North Carolina', 'GPE')]","Says if the AHCA replaces Obamacare it will ""significantly reduce insurance premiums in"" [GPE]North Carolina[/GPE]."
1,"Republican challenger Bill Flores ""has never once voted in a general election in our district.","[('Republican', 'NORP'), ('Bill Flores', 'PERSON')]","[NORP]Republican[/NORP] challenger [PERSON]Bill Flores[/PERSON] ""has never once voted in a general election in our district."
0,"Facebook changed its name because it is a ""dead entity"" whose assets were seized.",[],"Facebook changed its name because it is a ""dead entity"" whose assets were seized."
1,"Hillary Clinton has taken over $800,000 from lobbyists.","[('Hillary Clinton', 'PERSON'), ('over $800,000', 'MONEY')]","[PERSON]Hillary Clinton[/PERSON] has taken [MONEY]over $800,000[/MONEY] from lobbyists."
0,Says an image shows a satellite view of fires in Australia.,"[('Australia', 'GPE')]",Says an image shows a satellite view of fires in [GPE]Australia[/GPE].
0,More businesses went out of business last year than were started for the first time in our history.,"[('last year', 'DATE'), ('first', 'ORDINAL')]",More businesses went out of business [DATE]last year[/DATE] than were started for the [ORDINAL]first[/ORDINAL] time in our history.
